name	,url	,경로(분리된경우만)
서울	,http://www.seoul.go.kr/coronaV/coronaStatus.do	
부산	,http://www.busan.go.kr/corona/index.jsp	
대구	,http://www.daegu.go.kr/	
인천	,https://www.incheon.go.kr/health/HE020409	
광주	,https://www.gwangju.go.kr/	
대전	,https://www.daejeon.go.kr/corona19/index.do	
울산	,http://www.ulsan.go.kr/corona.jsp	
세종	,https://www.sejong.go.kr/	https://www.sejong.go.kr/bbs/R3340/list.do?cmsNoStr=17479
경기-가평	,http://www.gp.go.kr/portal/index.do	
경기-고양	,http://www.goyang.go.kr/www/emergencyPopup/BD_selectCoronaPopupDayBbsList.do	http://www.goyang.go.kr/www/www04/www04_1/www04_1_6/www04_1_6_tab4.jsp
경기-과천	,https://www.gccity.go.kr/main/main.do	,https://www.gccity.go.kr/main/board/bbs.do?mCode=F100010000&cfgIdx=237
경기-광명	,http://www.gm.go.kr/pt/index.do#none	,http://news.gm.go.kr/news/articleList.html?page=1&total=75&sc_section_code=&sc_sub_section_code=&sc_serial_code=&sc_area=OT&sc_level=&sc_article_type=&sc_view_level=&sc_sdate=&sc_edate=&sc_serial_number=&sc_word=%EC%BD%94%EB%A1%9C%EB%82%98&view_type=sm
경기-광주	,https://www.gjcity.go.kr/main.do#	
경기-구리	,http://www.guri.go.kr/main/cityhall	
경기-군포	,http://www.gunpo.go.kr/www/index.do	
경기-김포	,http://www.gimpo.go.kr/portal/index.do	
경기-남양주	,현황판없음	
경기-동두천	,https://www.ddc.go.kr/ddc/index.do	
경기-부천	,https://www.bucheon.go.kr/site/main/index148	
경기-성남	,https://www.seongnam.go.kr/main.do	
경기-수원	,https://www.suwon.go.kr/web/safesuwon/corona/PD_index.do#none	
경기-시흥	,https://www.siheung.go.kr/main/bbs/list.do?ptIdx=46&mId=0401110000	
경기-안산	,https://www.ansan.go.kr/www/index.do	
경기-안성	,https://www.anseong.go.kr/main.do	
경기-안양	,https://www.anyang.go.kr/main/index.do	
경기-양주	,현황판없음	
경기-양평	,https://www.yp21.go.kr/	
경기-여주	,http://www.yeoju.go.kr/main/yj	
경기-연천	,https://www.yeoncheon.go.kr/index.yeoncheon	
경기-오산	,http://blog.naver.com/PostList.nhn?blogId=osan_si&categoryNo=92&from=postList	
경기-용인	,https://www.yongin.go.kr/index.do	
경기-의왕	,https://www.uiwang.go.kr/UWKORINFO1701	
경기-의정부	,https://www.ui4u.go.kr/main.do	
경기-이천	,현황판없음	
경기-파주	,https://safe.paju.go.kr/safe/safe_02/safe_02_07.jsp#transChart	,https://www.paju.go.kr/resources/download/pTrace.pdf
경기-평택	,https://www.pyeongtaek.go.kr/pyeongtaek/bbs/list.do?ptIdx=528&mId=0410000000	https://www.pyeongtaek.go.kr/pyeongtaek/coronaRoute/list.do?mId=0412000000
경기-포천	,현황판없음	
경기-하남	,http://www.hanam.go.kr/www/index.do	
경기-화성	,http://www.hscity.go.kr/www/index.do	
강원-춘천	,현황판없음	,http://search.chuncheon.go.kr/search.jsp?qrytype=&qry=%EC%BD%94%EB%A1%9C%EB%82%98
강원-원주	,https://www.wonju.go.kr/intro.jsp	
강원-강릉	,https://www.gn.go.kr/www/contents.do?key=3158	,https://www.gn.go.kr/www/selectBbsNttList.do?bbsNo=598&key=3159
강원-동해	,http://www.dh.go.kr/corona19/01.htm	http://www.dh.go.kr/corona19/02.htm
강원-태백	,http://www.taebaek.go.kr/www/index.do	
강원-속초	,http://www.sokcho.go.kr/portal/openinfo/sokchonews/corona19news	
강원-삼척	,http://www.samcheok.go.kr/02179/02696.web	
강원-홍천	,https://www.hongcheon.go.kr/www/index.do	
강원-횡성	,https://www.hsg.go.kr/main.web	
강원-영월	,https://www.yw.go.kr/www/index.do	
강원-평창	,현황판없음	,https://www.pc.go.kr/portal/government/pccorona-19
강원-정선	,현황판없음	
강원-철원	,http://www.cwg.go.kr/site/www/main.do	
강원-화천	,현황판없음	
강원-양구	,현황판없음	,http://www.yanggu.go.kr/user_sub.php?gid=www&mu_idx=616
강원-인제	,현황판없음	
강원-고성	,https://www.gwgs.go.kr/prog/bbsArticle/BBSMSTR_000000003621/list.do	
강원-양양	,현황판없음	
충북	,http://www.chungbuk.go.kr/www/covid-19/index.html	
충남	,http://www.chungnam.go.kr/coronaStatus.do	
전북	,http://www.jeonbuk.go.kr/board/list.jeonbuk?boardId=BBS_0000105&menuCd=DOM_000000105010004000&contentsSid=1189&cpath=	
전남	,https://www.jeonnam.go.kr/coronaMainPage.do	
경북	,http://www.gb.go.kr/	
경남	,http://www.gyeongnam.go.kr/corona.html	
제주	,https://www.jeju.go.kr/corona19.jsp	,현황보기 누를것 그래야 현황판나옴
